	ENA|KP748818|KP748818.1 UNVERIFIED: Uncultured fungus clone DE1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748817|KP748817.1 UNVERIFIED: Uncultured fungus clone RE4 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748819|KP748819.1 UNVERIFIED: Uncultured fungus clone MV1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748812|KP748812.1 UNVERIFIED: Uncultured fungus clone DE2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748814|KP748814.1 UNVERIFIED: Uncultured fungus clone DE3 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|ON863385|ON863385.1 HIV-1 strain GH75 from Ghana pol protein (pol) gene, partial cds.	ENA|AY397209|AY397209.1 HIV-1 strain S|GH75 from Ghana pol protein (pol) gene, partial cds.	ENA|KX592575|KX592575.1 Cacao swollen shoot virus isolate GH75, complete genome.	ENA|EU098763|EU098763.1 Gossypium herbaceum isolate GH75 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	ENA|KP748816|KP748816.1 UNVERIFIED: Uncultured fungus clone OR1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748815|KP748815.1 UNVERIFIED: Uncultured fungus clone OR2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|AY397578|AY397578.1 HIV-1 strain S|GH75 from Ghana envelope glycoprotein (env) gene, partial cds.	ENA|KP748813|KP748813.1 UNVERIFIED: Uncultured fungus clone TW2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748822|KP748822.1 UNVERIFIED: Uncultured fungus clone RE1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|ON863417|ON863417.1 HIV-1 strain GH75 from Ghana integrase (pol) gene, partial cds.	ENA|KP748820|KP748820.1 UNVERIFIED: Uncultured fungus clone NR1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|KP748821|KP748821.1 UNVERIFIED: Uncultured fungus clone TW1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	ENA|AY856671|AY856671.1 Hepatitis B virus isolate GH75 surface antigen (S) gene, partial cds.	ENA|AY396936|AY396936.1 HIV-1 strain S|GH75 from Ghana gag protein (gag) gene, partial cds.	ENA|MZ158321|MZ158321.1 Gomphidius roseus voucher GH75-11 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.	ENA|KU355887|KU355887.1 Gymnocypris potanini microsatellite GH75 sequence.
ENA|KP748815|KP748815.1 UNVERIFIED: Uncultured fungus clone OR2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0.781189100190479	0.801314709186032	0.815374248327211	0.757366530098674	0.763488423529998	0.865299785388258	0.863133825081603	0.826845493056445	0.862948927262691	0.789753974479512	0	0.822567271062304	0.775880177444458	0.815459759454346	0.830876242258279	0.854733846402802	0.847998304005088	0.88539234127586	0.843409868442128	0.817506471951855	0.835475793772745
ENA|AY397578|AY397578.1 HIV-1 strain S|GH75 from Ghana envelope glycoprotein (env) gene, partial cds.	0.841276695786374	0.873751028734761	0.842637036167524	0.84276173965322	0.841380289809078	0.809571124364873	0.814432110921262	0.820045039980012	0.829702233998107	0.84816729193128	0.822567271062304	0	0.875528710350542	0.867006736001577	0.811605243743752	0.870139561876632	0.829993306532582	0.859029123186612	0.82444848383092	0.837887101297393	0.809640904752736
ENA|KP748813|KP748813.1 UNVERIFIED: Uncultured fungus clone TW2 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0.835629021796733	0.827374979210259	0.8496063711599	0.821822772960854	0.756845779522211	0.865826842414459	0.869117257259889	0.868699703728355	0.861891607371335	0.756878009726825	0.775880177444458	0.875528710350542	0	0.853460638652068	0.880731178936783	0.845154254728517	0.842170470464018	0.859609061683123	0.863943108384167	0.852575380547878	0.869941137710806
ENA|KP748822|KP748822.1 UNVERIFIED: Uncultured fungus clone RE1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0.808239304905303	0.832916562447884	0.839799474812134	0.845946215784432	0.824501640789771	0.870751948159681	0.864305391354126	0.862363546351508	0.843490017626804	0.842130437325114	0.815459759454346	0.867006736001577	0.853460638652068	0	0.867762668125779	0.846747383861014	0.858258202906994	0.848743036284444	0.863297757942139	0.852316706979841	0.853118192800724
ENA|ON863417|ON863417.1 HIV-1 strain GH75 from Ghana integrase (pol) gene, partial cds.	0.844182254113956	0.859781447770906	0.856210304428329	0.847531627229881	0.811428272605878	0.825787431866766	0.801874072655779	0.818696396088822	0.819060155778602	0.819630936333465	0.830876242258279	0.811605243743752	0.880731178936783	0.867762668125779	0	0.847791247890659	0.82645974752901	0.863667034175061	0.818285184562726	0.876742927499013	0.828894063537347
ENA|KP748820|KP748820.1 UNVERIFIED: Uncultured fungus clone NR1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0.827170191868511	0.843197876515078	0.852419324649536	0.861938427677607	0.815475321515005	0.862358377840087	0.857878229225906	0.840062917706588	0.851827304151235	0.827989740461365	0.854733846402802	0.870139561876632	0.845154254728517	0.846747383861014	0.847791247890659	0	0.857719545879223	0.837501313852238	0.857037498792371	0.838993810778804	0.863602950357351
ENA|KP748821|KP748821.1 UNVERIFIED: Uncultured fungus clone TW1 glycosyl hydrolase 75-like (GH75) gene, partial sequence.	0.80636481523355	0.860073268621494	0.795822425754221	0.828155002378541	0.827515926551056	0.841406323823342	0.844031622944883	0.835013596549193	0.849528170932281	0.827884809878141	0.847998304005088	0.829993306532582	0.842170470464018	0.858258202906994	0.82645974752901	0.857719545879223	0	0.824621125123532	0.890988018506875	0.845524855164976	0.829817143247879
ENA|AY856671|AY856671.1 Hepatitis B virus isolate GH75 surface antigen (S) gene, partial cds.	0.834795695180095	0.832380407540412	0.812187861770303	0.834243366919633	0.825452935678109	0.870429238263243	0.86838836971469	0.869226987360353	0.85	0.824744230464984	0.88539234127586	0.859029123186612	0.859609061683123	0.848743036284444	0.863667034175061	0.837501313852238	0.824621125123532	0	0.860975649927129	0.839683943173837	0.857690027870236
ENA|AY396936|AY396936.1 HIV-1 strain S|GH75 from Ghana gag protein (gag) gene, partial cds.	0.86646400872711	0.873362904388985	0.846065800118109	0.858304369400823	0.85146931829632	0.844162289298975	0.848114523878724	0.844888441149139	0.857218922533888	0.840348479507347	0.843409868442128	0.82444848383092	0.863943108384167	0.863297757942139	0.818285184562726	0.857037498792371	0.890988018506875	0.860975649927129	0	0.830990019559471	0.859799403539365
ENA|MZ158321|MZ158321.1 Gomphidius roseus voucher GH75-11 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.	0.854914140115157	0.873973562091007	0.83561092263989	0.851315849704555	0.831156577329836	0.866025403784439	0.866944263887765	0.858530915196766	0.865710885741095	0.836660026534076	0.817506471951855	0.837887101297393	0.852575380547878	0.852316706979841	0.876742927499013	0.838993810778804	0.845524855164976	0.839683943173837	0.830990019559471	0	0.870310563069572
ENA|KU355887|KU355887.1 Gymnocypris potanini microsatellite GH75 sequence.	0.863158440217002	0.867866054965685	0.878595370213959	0.86047551880742	0.848414263956603	0.828416869579514	0.816905544930794	0.833645025641597	0.840386815698581	0.85146931829632	0.835475793772745	0.809640904752736	0.869941137710806	0.853118192800724	0.828894063537347	0.863602950357351	0.829817143247879	0.857690027870236	0.859799403539365	0.870310563069572	0
