	ENA|ON863365|ON863365.1 HIV-1 strain GH23 from Ghana pol protein (pol) gene, partial cds.	ENA|AY397202|AY397202.1 HIV-1 strain S|GH23 from Ghana pol protein (pol) gene, partial cds.	ENA|ON315733|ON315733.1 Hemiculter leucisculus isolate GH23 cytochrome b (cytb) gene, partial cds; mitochondrial.	ENA|MN267655|MN267655.1 Gymnocypris eckloni isolate GH23 cytochrome b gene, partial cds; mitochondrial.	ENA|PP440131|PP440131.1 Hynobius yiwuensis isolate GH23 cytochrome b (cytb) gene, partial cds; mitochondrial.	ENA|PP434675|PP434675.1 Hynobius yiwuensis isolate GH23 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial.	ENA|OR668309|OR668309.1 Hynobius unisacculus isolate GH23 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial.	ENA|HQ730803|HQ730803.1 Styela clava haplotype GH23 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.	ENA|AY397535|AY397535.1 HIV-1 strain S|GH23 from Ghana envelope glycoprotein (env) gene, partial cds.	ENA|ON863401|ON863401.1 HIV-1 strain GH23 from Ghana integrase (pol) gene, partial cds.	ENA|MN267601|MN267601.1 Gymnocypris eckloni isolate GH23 D-loop, partial sequence; mitochondrial.	ENA|HQ694619|HQ694619.1 Carassius gibelio haplotype GH23 D-loop, partial sequence; mitochondrial.	ENA|EU098622|EU098622.1 Gossypium herbaceum isolate GH23 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	ENA|AY396883|AY396883.1 HIV-1 strain S|GH23 from Ghana gag protein (gag) gene, partial cds.	ENA|EF100841|EF100841.1 Ailuropoda melanoleuca haplotype GH23 control region, partial sequence; mitochondrial.	ENA|AB986081|AB986081.1 Orthohepevirus A gene for capsid protein, partial cds, isolate: GH23-Nep14.	ENA|HX871799|HX871799.1 Hevea brasiliensis mRNA, clone: Hebr-GH23, 5' end sequence, expressed in latex.	ENA|PQ732355|PQ732355.1 Uncultured Halobaculum sp. clone GH23 16S ribosomal RNA gene, partial sequence.	ENA|OM115976|OM115976.1 Giardia intestinalis assemblage AII isolate GH23 triosephosphate isomerase gene, partial cds.	ENA|KR053130|KR053130.1 Pseudo-nitzschia pungens isolate GH23 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence.	ENA|OQ831743|OQ831743.1 Seimatosporium pezizoides isolate GH23 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.	ENA|JX845700|JX845700.1 Gambusia holbrooki clone Gh23 microsatellite sequence.
ENA|MN267601|MN267601.1 Gymnocypris eckloni isolate GH23 D-loop, partial sequence; mitochondrial.	0.833763329921975	0.837159972815042	0.81495805199165	0.814033538872717	0.807532311263729	0.796655773559489	0.816496580927726	0.816839574675653	0.793581118957862	0.83278022718665	0	0.442141065503433	0.80357943621891	0.834142002454558	0.811245744592635	0.822161399658612	0.86213895752921	0.848026494969475	0.867324767461562	0.85485041426511	0.859124692984225	0.825068958499642
ENA|HQ694619|HQ694619.1 Carassius gibelio haplotype GH23 D-loop, partial sequence; mitochondrial.	0.834057656228299	0.837930581596392	0.796223142006077	0.808152242988219	0.787157687430151	0.788997183956566	0.801192744802153	0.811191153849018	0.806335338705448	0.817014498252834	0.442141065503433	0	0.808091608787501	0.8238858408711	0.783523370999027	0.829823833675985	0.84656167328002	0.851902809377028	0.85876083228361	0.866448577718212	0.843527392286973	0.829445320465396
ENA|EU098622|EU098622.1 Gossypium herbaceum isolate GH23 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	0.865702440728723	0.855026605482865	0.841361471544528	0.835001883225025	0.848930092982841	0.834584802106721	0.835665777785306	0.840819091235473	0.838558413000629	0.855911367878077	0.80357943621891	0.808091608787501	0	0.815881517502639	0.83400255017583	0.848114523878724	0.846396216096131	0.83166499665831	0.865718900358175	0.885936634827928	0.845513818350284	0.873011075299682
ENA|AY396883|AY396883.1 HIV-1 strain S|GH23 from Ghana gag protein (gag) gene, partial cds.	0.81713026094622	0.81319759135197	0.840979415212759	0.839254327416282	0.829485772771493	0.82915619758885	0.809640904752736	0.81583357100846	0.80363756341608	0.828565251610004	0.834142002454558	0.8238858408711	0.815881517502639	0	0.830575145585135	0.839719122759632	0.844182254113956	0.807910679018397	0.845402792964952	0.808757102172504	0.837017802914137	0.863364797177957
ENA|EF100841|EF100841.1 Ailuropoda melanoleuca haplotype GH23 control region, partial sequence; mitochondrial.	0.851737970690208	0.858018833720102	0.835247146224152	0.837130456723923	0.830623299056236	0.840819091235473	0.834152602743061	0.828480493623967	0.837489635093407	0.824496525491736	0.811245744592635	0.783523370999027	0.83400255017583	0.830575145585135	0	0.85673224976258	0.851151105465043	0.861356769214109	0.88034084308295	0.863547500554709	0.860341162497675	0.848939488046168
ENA|AB986081|AB986081.1 Orthohepevirus A gene for capsid protein, partial cds, isolate: GH23-Nep14.	0.851233769584644	0.851205555787551	0.819056940240899	0.822118846022231	0.831236893953431	0.823825542569641	0.825068958499642	0.830237941294236	0.849337415755085	0.880415967104343	0.822161399658612	0.829823833675985	0.848114523878724	0.839719122759632	0.85673224976258	0	0.85997542962444	0.82915619758885	0.851111181868996	0.851256530758749	0.845770930662248	0.875347797297603
ENA|HX871799|HX871799.1 Hevea brasiliensis mRNA, clone: Hebr-GH23, 5' end sequence, expressed in latex.	0.854684742367924	0.853563956930837	0.83275523174913	0.829417521998121	0.838965232261866	0.830550910429225	0.839022462101283	0.832280619683249	0.837275897082349	0.854170504498538	0.86213895752921	0.84656167328002	0.846396216096131	0.844182254113956	0.851151105465043	0.85997542962444	0	0.857904423581089	0.846378229670669	0.878172215842636	0.86817702301062	0.831702665204501
ENA|PQ732355|PQ732355.1 Uncultured Halobaculum sp. clone GH23 16S ribosomal RNA gene, partial sequence.	0.811035004039763	0.820995218726194	0.83740361432108	0.852139119415471	0.856994652273219	0.84682067945811	0.828155002378541	0.833045927450209	0.861602041897894	0.83017419207609	0.848026494969475	0.851902809377028	0.83166499665831	0.807910679018397	0.861356769214109	0.82915619758885	0.857904423581089	0	0.825500825501238	0.855569985448298	0.844480556530798	0.825610472959994
ENA|OM115976|OM115976.1 Giardia intestinalis assemblage AII isolate GH23 triosephosphate isomerase gene, partial cds.	0.82738368269459	0.84025992728847	0.849280045535441	0.858003620485344	0.849280045535441	0.873191469901364	0.856255263880507	0.873128250130799	0.829807998803876	0.847047099775253	0.867324767461562	0.85876083228361	0.865718900358175	0.845402792964952	0.88034084308295	0.851111181868996	0.846378229670669	0.825500825501238	0	0.849929175519604	0.853810047164271	0.820060973342836
ENA|KR053130|KR053130.1 Pseudo-nitzschia pungens isolate GH23 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, complete sequence; and 5.8S ribosomal RNA gene, partial sequence.	0.828453621952797	0.822349677938622	0.831241300180257	0.85031292473468	0.831241300180257	0.841427358718505	0.841244499353373	0.847958272928803	0.85081172830123	0.840168050416806	0.85485041426511	0.866448577718212	0.885936634827928	0.808757102172504	0.863547500554709	0.851256530758749	0.878172215842636	0.855569985448298	0.849929175519604	0	0.854597612126131	0.859363570979383
ENA|OQ831743|OQ831743.1 Seimatosporium pezizoides isolate GH23 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence.	0.842770175917788	0.845917029481908	0.841436430858311	0.848213209549911	0.851581375850046	0.869324560126823	0.853599718036785	0.844267884002507	0.804141224873241	0.845154254728517	0.859124692984225	0.843527392286973	0.845513818350284	0.837017802914137	0.860341162497675	0.845770930662248	0.86817702301062	0.844480556530798	0.853810047164271	0.854597612126131	0	0.852272350369282
ENA|JX845700|JX845700.1 Gambusia holbrooki clone Gh23 microsatellite sequence.	0.840356746219391	0.844354045376238	0.824250758554155	0.818053296508701	0.831932665116313	0.862472984575637	0.857969178415583	0.869538705852482	0.848528137423857	0.854668486036696	0.825068958499642	0.829445320465396	0.873011075299682	0.863364797177957	0.848939488046168	0.875347797297603	0.831702665204501	0.825610472959994	0.820060973342836	0.859363570979383	0.852272350369282	0
