	ENA|AY396941|AY396941.1 HIV-1 strain S|GH80 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396842|AY396842.1 HIV-1 strain S|GH80 clone 7 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396844|AY396844.1 HIV-1 strain S|GH80 clone 3 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396852|AY396852.1 HIV-1 strain S|GH80 clone 12 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396851|AY396851.1 HIV-1 strain S|GH80 clone 4 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396850|AY396850.1 HIV-1 strain S|GH80 clone 9 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396849|AY396849.1 HIV-1 strain S|GH80 clone 5 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396845|AY396845.1 HIV-1 strain S|GH80 clone 10 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396853|AY396853.1 HIV-1 strain S|GH80 clone 2 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396847|AY396847.1 HIV-1 strain S|GH80 clone 1 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396843|AY396843.1 HIV-1 strain S|GH80 clone 8 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396846|AY396846.1 HIV-1 strain S|GH80 clone 6 from Ghana gag protein (gag) gene, partial cds.	ENA|AY396848|AY396848.1 HIV-1 strain S|GH80 clone 11 from Ghana gag protein (gag) gene, partial cds.	ENA|ON863387|ON863387.1 HIV-1 strain GH80 from Ghana pol protein (pol) gene, partial cds.	ENA|AY397241|AY397241.1 HIV-1 strain S|GH80 from Ghana pol protein (pol) gene, partial cds.	ENA|EF544557|EF544557.1 Sigaus australis isolate GH80 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.	ENA|AY397580|AY397580.1 HIV-1 strain S|GH80 from Ghana envelope glycoprotein (env) gene, partial cds.	ENA|KU355892|KU355892.1 Gymnocypris potanini microsatellite GH80 sequence.	ENA|ON863419|ON863419.1 HIV-1 strain GH80 from Ghana integrase (pol) gene, partial cds.	ENA|PQ732404|PQ732404.1 Uncultured Halobaculum sp. clone GH80 16S ribosomal RNA gene, partial sequence.	ENA|EU098769|EU098769.1 Gossypium herbaceum isolate GH80 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.
ENA|AY396843|AY396843.1 HIV-1 strain S|GH80 clone 8 from Ghana gag protein (gag) gene, partial cds.	0.0790569415042095	0.111803398874989	0.111803398874989	0.0968245836551854	0.0968245836551854	0.0790569415042095	0.0968245836551854	0.0968245836551854	0.0559016994374947	0.0790569415042095	0	0.0968245836551854	0.0968245836551854	0.737545891025147	0.74535599249993	0.781847342169608	0.763370036711974	0.817795701209781	0.826964913247192	0.812085438005565	0.819126206353749
ENA|AY396846|AY396846.1 HIV-1 strain S|GH80 clone 6 from Ghana gag protein (gag) gene, partial cds.	0.0968245836551854	0.125	0.125	0.111803398874989	0.111803398874989	0.125	0.136930639376292	0.136930639376292	0.111803398874989	0.125	0.0968245836551854	0	0.111803398874989	0.737545891025147	0.74535599249993	0.781847342169608	0.763370036711974	0.815846245037263	0.823054891753102	0.806760230158575	0.823054891753102
ENA|AY396848|AY396848.1 HIV-1 strain S|GH80 clone 11 from Ghana gag protein (gag) gene, partial cds.	0.0968245836551854	0.125	0.125	0.111803398874989	0.111803398874989	0.125	0.136930639376292	0.136930639376292	0.111803398874989	0.125	0.0968245836551854	0.111803398874989	0	0.733116145905696	0.743223352957207	0.781847342169608	0.763370036711974	0.813892119488575	0.826964913247192	0.809427213400379	0.821092898755736
ENA|ON863387|ON863387.1 HIV-1 strain GH80 from Ghana pol protein (pol) gene, partial cds.	0.743127718477887	0.735334354139564	0.737545891025147	0.737545891025147	0.739750816395836	0.739750816395836	0.739750816395836	0.737545891025147	0.739750816395836	0.741949189195954	0.737545891025147	0.737545891025147	0.733116145905696	0	0.2123251450326	0.765454979114879	0.742947727747299	0.790963943594495	0.818490470541196	0.804399666539844	0.807041380273456
ENA|AY397241|AY397241.1 HIV-1 strain S|GH80 from Ghana pol protein (pol) gene, partial cds.	0.749128847295808	0.743223352957207	0.74535599249993	0.74535599249993	0.747482547441851	0.747482547441851	0.747482547441851	0.74535599249993	0.747482547441851	0.749603069567329	0.74535599249993	0.74535599249993	0.743223352957207	0.2123251450326	0	0.763996719315249	0.754937129786362	0.789101015314981	0.813094497043647	0.808122035641769	0.813714642411193
ENA|EF544557|EF544557.1 Sigaus australis isolate GH80 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial.	0.782576536514454	0.783849515338196	0.781847342169608	0.781847342169608	0.785846587403782	0.783849515338196	0.781847342169608	0.783849515338196	0.783849515338196	0.785846587403782	0.781847342169608	0.781847342169608	0.781847342169608	0.765454979114879	0.763996719315249	0	0.803150791906009	0.800152424503622	0.822696340269411	0.868918914698768	0.839286909062253
ENA|AY397580|AY397580.1 HIV-1 strain S|GH80 from Ghana envelope glycoprotein (env) gene, partial cds.	0.766690041719393	0.768067742815669	0.768067742815669	0.768067742815669	0.768067742815669	0.765722492324601	0.765722492324601	0.770405853986141	0.765722492324601	0.768067742815669	0.763370036711974	0.763370036711974	0.763370036711974	0.742947727747299	0.754937129786362	0.803150791906009	0	0.797522666027026	0.799122325572293	0.843384296231384	0.810092587300983
ENA|KU355892|KU355892.1 Gymnocypris potanini microsatellite GH80 sequence.	0.81836713682931	0.817795701209781	0.813892119488575	0.817795701209781	0.819740521319395	0.819740521319395	0.821680738285126	0.819740521319395	0.819740521319395	0.821680738285126	0.817795701209781	0.815846245037263	0.813892119488575	0.790963943594495	0.789101015314981	0.800152424503622	0.797522666027026	0	0.831442847427644	0.82993775700225	0.814746318291261
ENA|ON863419|ON863419.1 HIV-1 strain GH80 from Ghana integrase (pol) gene, partial cds.	0.824621125123532	0.825012218873347	0.823054891753102	0.823054891753102	0.825012218873347	0.826964913247192	0.828913007615123	0.826964913247192	0.828913007615123	0.826964913247192	0.826964913247192	0.823054891753102	0.826964913247192	0.818490470541196	0.813094497043647	0.822696340269411	0.799122325572293	0.831442847427644	0	0.826515318682274	0.831751372002226
ENA|PQ732404|PQ732404.1 Uncultured Halobaculum sp. clone GH80 16S ribosomal RNA gene, partial sequence.	0.811107105653813	0.806760230158575	0.806760230158575	0.806760230158575	0.806760230158575	0.806760230158575	0.812085438005565	0.814734989704183	0.812085438005565	0.809427213400379	0.812085438005565	0.806760230158575	0.809427213400379	0.804399666539844	0.808122035641769	0.868918914698768	0.843384296231384	0.82993775700225	0.826515318682274	0	0.873095116219999
ENA|EU098769|EU098769.1 Gossypium herbaceum isolate GH80 retrotransposon Gorge3 reverse transcriptase (pol) gene, partial sequence.	0.829645519671919	0.817154780616176	0.819126206353749	0.821092898755736	0.821092898755736	0.821092898755736	0.817154780616176	0.819126206353749	0.819126206353749	0.819126206353749	0.819126206353749	0.823054891753102	0.821092898755736	0.807041380273456	0.813714642411193	0.839286909062253	0.810092587300983	0.814746318291261	0.831751372002226	0.873095116219999	0
